id,lastpage,randnumber,g1,g2,g3,g4,g5,g6,kontrolle,geschlecht,alter,sterbehilfe
1,12,5,,,,,Y,,5,2,66,0
2,12,3,,,Y,,,,5,2,41,1
3,12,5,,,,,Y,,5,2,38,1
4,12,6,,,,,,N,5,1,60,1
5,9,6,,,,,,Y,2,,,
6,12,6,,,,,,N,5,1,30,0
7,12,3,,,Y,,,,5,2,49,1
8,12,5,,,,,Y,,5,2,57,1
9,12,5,,,,,Y,,5,2,59,0
10,12,3,,,Y,,,,5,2,70,0
11,12,1,Y,,,,,,5,2,50,0
12,12,2,,Y,,,,,5,2,30,1
13,12,1,N,,,,,,5,1,58,1
14,12,4,,,,Y,,,5,1,59,1
15,3,2,,,,,,,,,,
16,12,1,N,,,,,,5,1,39,1
17,12,5,,,,,Y,,5,2,29,0
18,12,6,,,,,,N,5,2,58,0
19,12,4,,,,Y,,,5,1,56,0
20,12,5,,,,,N,,5,2,56,0
21,12,1,Y,,,,,,5,2,58,1
22,12,2,,N,,,,,5,2,49,1
23,12,1,Y,,,,,,5,1,73,0
24,12,6,,,,,,Y,5,2,35,0
25,9,3,,,N,,,,1,,,
26,12,4,,,,N,,,5,1,69,1
27,12,2,,Y,,,,,5,2,69,1
28,12,6,,,,,,Y,5,1,70,0
29,12,1,Y,,,,,,5,2,45,1
30,12,5,,,,,Y,,5,1,51,1
31,12,1,Y,,,,,,5,2,33,1
32,9,5,,,,,N,,2,,,
33,12,2,,Y,,,,,5,2,47,0
34,12,4,,,,Y,,,5,2,64,1
35,12,3,,,Y,,,,5,2,62,0
36,7,6,,,,,,,,,,
37,12,1,Y,,,,,,5,2,54,0
38,12,4,,,,Y,,,5,2,50,0
39,12,2,,Y,,,,,5,2,58,0
40,12,2,,Y,,,,,5,2,49,1
41,12,1,Y,,,,,,5,2,59,1
42,12,2,,Y,,,,,5,1,66,0
43,12,1,Y,,,,,,5,2,25,0
44,12,3,,,Y,,,,5,1,41,0
45,12,4,,,,Y,,,5,1,55,1
46,12,6,,,,,,N,5,1,65,1
47,12,5,,,,,Y,,5,2,52,0
48,12,4,,,,N,,,5,2,68,1
49,12,1,Y,,,,,,5,1,46,0
50,12,6,,,,,,N,5,2,41,0
51,12,6,,,,,,N,5,1,47,1
52,12,6,,,,,,Y,5,1,65,0
53,12,4,,,,Y,,,5,2,46,1
54,12,4,,,,Y,,,5,1,47,0
55,12,3,,,Y,,,,5,2,45,0
56,12,5,,,,,Y,,5,1,69,0
57,12,3,,,Y,,,,5,1,69,0
58,12,2,,Y,,,,,5,1,38,0
59,10,6,,,,,,Y,5,1,,
60,12,1,Y,,,,,,5,2,68,0
61,12,6,,,,,,N,5,2,62,0
62,12,2,,Y,,,,,5,2,47,0
63,12,5,,,,,Y,,5,1,73,0
64,12,5,,,,,Y,,5,1,67,1
65,12,2,,Y,,,,,5,1,46,1
66,12,6,,,,,,Y,5,2,44,0
67,12,1,Y,,,,,,5,2,58,1
68,12,3,,,Y,,,,5,2,54,0
69,12,2,,Y,,,,,5,1,38,1
70,12,6,,,,,,Y,5,1,74,1
