ID;Condition;Ascription;Answer
1;Harm;5;Yes
2;Harm;5;Yes
3;Harm;5;Yes
4;Harm;5;Yes
5;Harm;5;Yes
6;Harm;3;Yes
7;Harm;4;Yes
8;Harm;4;No
9;Harm;4;Yes
10;Harm;4;No
11;Harm;6;Yes
12;Harm;6;Yes
13;Harm;6;Yes
14;Harm;6;Yes
15;Harm;6;Yes
16;Harm;6;Yes
17;Harm;6;Yes
18;Harm;6;Yes
19;Harm;6;Yes
20;Harm;6;Yes
21;Harm;6;Yes
22;Harm;6;Yes
23;Harm;6;Yes
24;Harm;6;Yes
25;Harm;6;Yes
26;Harm;5;No
27;Harm;5;Yes
28;Harm;5;Yes
29;Harm;6;Yes
30;Harm;6;No
31;Harm;6;No
32;Harm;4;Yes
33;Harm;3;Yes
34;Harm;6;No
35;Harm;6;Yes
36;Harm;6;Yes
37;Harm;4;Yes
38;Harm;5;Yes
39;Harm;5;Yes
40;Harm;4;No
41;Harm;5;No
42;Harm;5;No
43;Harm;6;Yes
44;Harm;5;Yes
45;Harm;6;Yes
46;Harm;5;Yes
47;Harm;6;Yes
48;Harm;4;Yes
49;Harm;4;Yes
50;Harm;6;Yes
51;Harm;4;Yes
52;Harm;5;Yes
53;Harm;5;Yes
54;Harm;6;Yes
55;Harm;6;
56;Harm;4;No
57;Harm;4;No
58;Harm;4;No
59;Harm;1;No
60;Harm;4;No
61;Harm;6;No
62;Harm;4;Yes
63;Harm;5;Yes
64;Harm;5;Yes
65;Harm;0;Yes
66;Harm;6;Yes
67;Harm;5;Yes
68;Harm;5;Yes
69;Harm;4;Yes
70;Harm;6;Yes
71;Harm;5;Yes
72;Harm;3;Yes
73;Harm;6;Yes
74;Harm;6;Yes
75;Harm;6;Yes
76;Harm;6;Yes
77;Harm;6;Yes
78;Harm;6;Yes
79;Harm;6;Yes
80;Harm;6;Yes
81;Harm;6;Yes
82;Harm;6;Yes
83;Harm;6;Yes
84;Harm;5;Yes
85;Help;0;No
86;Help;0;No
87;Help;0;No
88;Help;0;No
89;Help;0;No
90;Help;2;No
91;Help;2;No
92;Help;4;No
93;Help;4;No
94;Help;1;No
95;Help;1;No
96;Help;1;No
97;Help;1;No
98;Help;1;No
99;Help;3;No
100;Help;0;No
101;Help;0;No
102;Help;2;No
103;Help;0;No
104;Help;0;No
105;Help;1;No
106;Help;5;No
107;Help;1;No
108;Help;2;No
109;Help;3;No
110;Help;3;No
111;Help;3;No
112;Help;3;No
113;Help;0;No
114;Help;2;No
115;Help;0;No
116;Help;3;No
117;Help;4;No
118;Help;0;No
119;Help;3;No
120;Help;6;No
121;Help;1;No
122;Help;1;No
123;Help;0;No
124;Help;3;No
125;Help;0;No
126;Help;2;No
127;Help;0;No
128;Help;0;No
129;Help;6;No
130;Help;1;No
131;Help;1;No
132;Help;3;No
133;Help;0;No
134;Help;0;No
135;Help;6;No
136;Help;1;No
137;Help;0;No
138;Help;0;No
139;Help;2;No
140;Help;0;No
141;Help;0;No
142;Help;2;No
143;Help;2;No
144;Help;3;No
145;Help;4;No
146;Help;2;No
147;Help;2;No
148;Help;1;No
149;Help;0;No
150;Help;1;No
151;Help;1;No
152;Help;0;No
153;Help;;Yes
154;Help;0;Yes
155;Help;5;Yes
156;Help;4;Yes
157;Help;5;Yes
158;Help;1;Yes
159;Help;5;Yes
160;Help;2;Yes
161;Help;6;Yes
162;Help;2;Yes
